Name,sl3
11a_253,q**18 + 2*q**12 - 4*q**10 + 2*q**8 - 2*q**6 - 2*q**4 + 4*q**2 - 3 + 6/q**2 - 2/q**4 + q**(-6) + 2/q**8 - 3/q**10 + 2/q**12 - 1/q**14
11a_254,-q**12 - 2*q**6 + 4*q**4 - q**2 + 3 + 3/q**2 - 3/q**4 + 4/q**6 - 5/q**8 + 2/q**10 - 1/q**12 - 2/q**14 + 3/q**16 - 2/q**18 + q**(-20)
11a_255,-q**24 + q**22 - 2*q**18 + 4*q**16 - 3*q**14 + 2*q**12 + q**10 - 3*q**8 + 4*q**6 - 5*q**4 + 4*q**2 - 1/q**2 + 3/q**4 - 2/q**6 + q**(-8)
11a_256,-q**22 + q**20 + 2*q**18 - 3*q**16 + 2*q**14 - 3*q**10 + 4*q**8 - 2*q**6 + 2*q**4 - 2 + 4/q**2 - 4/q**4 + 2/q**6 + 2/q**8 - 2/q**10 + q**(-12)
11a_257,q**18 + q**12 - 3*q**10 + q**8 - 2*q**6 - q**4 + 3*q**2 - 1 + 5/q**2 - 1/q**4 + q**(-6) + q**(-8) - 2/q**10 + q**(-12) - 1/q**14
11a_258,q**16 + q**14 + q**10 - 2*q**8 - 2*q**6 - 2*q**2 + 2 + q**(-2) + q**(-4) + 3/q**6 - 1/q**8 + 2/q**10 - 1/q**12 - 1/q**14 + q**(-16) - 1/q**18
11a_259,q**(-4) + 2/q**8 + q**(-10) + 2/q**14 - 3/q**16 + q**(-18) - 2/q**20 + 2/q**24 - 1/q**26 + 2/q**28 - 1/q**30 - 1/q**36
11a_260,1 + q**(-4) + 2/q**6 - 1/q**8 + 2/q**10 - 2/q**12 - 1/q**14 - 2/q**18 + 2/q**20 + 2/q**24 + 2/q**26 - 1/q**28 - 1/q**32 - 1/q**34
11a_261,q**30 - q**28 + 2*q**24 - 3*q**22 + 3*q**20 - 2*q**18 - q**16 + q**14 - 5*q**12 + 4*q**10 - 2*q**8 + 3*q**6 + 3*q**4 - q**2 + 2 - 1/q**2
11a_262,q**28 - q**24 + 2*q**22 - 2*q**20 - q**18 + 2*q**16 - 3*q**14 + 2*q**12 - q**10 + 2*q**6 - 3*q**4 + 4*q**2 + 2/q**4 - 1/q**6
11a_263,q**(-14) + 4/q**18 + q**(-20) + 4/q**22 + q**(-24) - 2/q**26 - 1/q**28 - 7/q**30 - 2/q**34 + 2/q**36 + 3/q**38 + q**(-42) - 2/q**44
11a_264,q**8 - 2*q**6 + 2*q**4 - 2*q**2 - 1 + 4/q**2 - 3/q**4 + 6/q**6 - 1/q**8 + q**(-10) + q**(-12) - 4/q**14 + 3/q**16 - 2/q**18 + q**(-22) - 1/q**24
11a_265,q**12 - 2*q**10 + q**8 + q**6 - 3*q**4 + 4*q**2 - 1 + q**(-2) + q**(-4) - 2/q**6 + 3/q**8 - 2/q**10 + q**(-12) + 2/q**14 - 2/q**16 + q**(-18) - 1/q**22
11a_266,q**18 - 3*q**16 + 3*q**12 - 5*q**10 + 7*q**8 - q**6 + 4*q**2 - 7 + 6/q**2 - 6/q**4 + 2/q**6 + 4/q**8 - 4/q**10 + 3/q**12 - 1/q**14
11a_267,-q**24 + 2*q**22 - 3*q**18 + 5*q**16 - 5*q**14 + 2*q**12 + q**10 - 4*q**8 + 6*q**6 - 6*q**4 + 6*q**2 - 2/q**2 + 4/q**4 - 3/q**6 + q**(-8)
11a_268,-q**12 + q**10 + q**8 - q**6 + 4*q**4 - 3*q**2 + 1 + q**(-2) - 3/q**4 + 5/q**6 - 4/q**8 + 3/q**10 - 1/q**12 - 2/q**14 + 3/q**16 - 2/q**18 + q**(-20)
11a_269,-q**12 + 2*q**10 + q**8 - q**6 + 4*q**4 - 4*q**2 + 1 - 3/q**4 + 5/q**6 - 4/q**8 + 4/q**10 - 1/q**12 - 2/q**14 + 3/q**16 - 2/q**18 + q**(-20)
11a_270,-q**16 + q**14 + 2*q**12 - 3*q**10 + 3*q**8 + q**6 - 3*q**4 + 4*q**2 - 3 + 2/q**2 - 1/q**4 - 2/q**6 + 4/q**8 - 4/q**10 + 2/q**12 + 2/q**14 - 2/q**16 + q**(-18)
11a_271,-q**6 + 3*q**4 - q**2 - 2 + 6/q**2 - 4/q**4 + 4/q**6 + q**(-8) - 3/q**10 + 3/q**12 - 6/q**14 + 4/q**16 - 1/q**18 - 3/q**20 + 4/q**22 - 2/q**24 + q**(-28)
11a_272,-q**16 + q**14 + 2*q**12 - 4*q**10 + 3*q**8 + q**6 - 3*q**4 + 5*q**2 - 3 + 3/q**2 - 1/q**4 - 2/q**6 + 4/q**8 - 5/q**10 + 2/q**12 + 2/q**14 - 2/q**16 + q**(-18)
11a_273,q**28 - 2*q**24 + 4*q**22 - 3*q**20 - q**18 + 3*q**16 - 6*q**14 + 3*q**12 - 3*q**10 + 2*q**8 + 4*q**6 - 3*q**4 + 6*q**2 - 2 - 1/q**2 + 2/q**4 - 1/q**6
11a_274,q**18 - q**16 + q**14 + 3*q**12 - 5*q**10 + 3*q**8 - 3*q**6 - 2*q**4 + 4*q**2 - 4 + 7/q**2 - 3/q**4 + 2/q**6 + 3/q**8 - 4/q**10 + 2/q**12 - 1/q**14
11a_275,1 - 1/q**2 + q**(-4) + 3/q**6 - 3/q**8 + 4/q**10 - 2/q**12 - 1/q**14 + 2/q**16 - 4/q**18 + 4/q**20 - 2/q**22 + 2/q**24 + 3/q**26 - 3/q**28 + q**(-30) - 1/q**32 - 1/q**34
11a_276,1 - 2/q**2 + q**(-4) + 3/q**6 - 4/q**8 + 6/q**10 - 1/q**12 + 3/q**16 - 5/q**18 + 4/q**20 - 4/q**22 + q**(-24) + 3/q**26 - 4/q**28 + 2/q**30 - 1/q**34
11a_277,q**8 - 2*q**6 + 3*q**4 + 1 + 4/q**2 - 5/q**4 + 3/q**6 - 4/q**8 + q**(-12) - 3/q**14 + 4/q**16 - 1/q**18 + q**(-20) + q**(-22) - 1/q**24
